Names	total	elements
		RPL5P4
		UBA5
		C18orf32
		PPP6R3
		SMIM20
		LLPH
		MLEC
		HIPK2
		NDUFA9
		CNP
		AC007318.5
		RNF130
		RUFY3
		CD164
		SF3B4
		BEX3
		OAZ1
		EIF1AD
		RNF114
		TMEM199
		SFT2D2
		EIF3CL
		OST4
		PHB
		MORF4L1
		GPX1
		LARP4B
		TMEM101
		C9orf3
		PNN
		RPL3P2
		CSNK2A1
		APRT
		G6PC3
		KTN1
		EEF1A1P5
		LMBR1
		SMAD5
		WASF2
		SNX17
		PFDN2
		DCAF8
		SNRPD2
Calcium	48	BRIX1
		RPL19
		NDUFAB1
		TCAF1
		TMEM30B
		CCAR1
		LLGL2
		GOLPH3
		WDFY2
		ATG4B
		AC005251.3
		BCKDK
		CREBBP
		SMIM7
		DNAJA1
		BDP1
		KIAA0319L
		HEXB
		MAGEF1
		EDIL3
		ACTR3B
		CMSS1
		ATP5O
		PDLIM1
		SNX27
		CYB5B
		RPL15
		UBL5
		ATP5J
		HSPE1
		METTL26
		RPS19
		MAFB
		PCBD1
		ARL6IP4
		JUP
		PRPSAP2
		GINM1
		TCEB2
		DNAJB12
		MRPS21
		CNIH1
		MINOS1
		SRSF5
		JUN
		ZFAND2B
		MTRNR2L12
		RPL14
Exocytosis	208	DBNL
		APOL2
		ATRX
		NDUFB1
		CNBP
		PDHA1
		QARS
		POLR2L
		AFF1
		FTH1P2
		ARL2
		RNF14
		TPD52L2
		C18orf8
		ITM2B
		HLA-H
		STAG2
		LARP7
		SQSTM1
		INTS6
		RPS23
		GNAS
		RASGRF1
		bP-2189O9.2
		ALG2
		WBP4
		USP7
		GCLM
		TRMT112
		ALCAM
		MBTPS1
		TOMM34
		XRCC6
		C9orf16
		COG1
		CDK2AP2
		KCNH2
		EIF3M
		NUCB1
		CHD6
		RAB5B
		MRLN
		KIAA0355
		SARS
		PRDX1
		UFD1L
		WDR6
		HSPA8
		PIGP
		FTH1P12
		PKIB
		GIPR
		AP3B1
		VWA1
		AHCYL1
		YWHAZ
		PPP1CC
		SLBP
		NDUFS2
		CD151
		LEPROT
		DEF8
		PITHD1
		NENF
		FTH1
		PAFAH1B3
		CTSB
		SLC16A9
		FTH1P8
		OSER1
		ITGAV
		MRFAP1L1
		HLA-A
		CMC1
		GABPB1-AS1
		TCTN1
		CTBP1
		FTH1P10
		TALDO1
		CFC1
		ANKRD17
		NCSTN
		ORMDL1
		SH3GLB2
		PRRC2C
		DCAF7
		CISD2
		SIK2
		ANKRD40
		SLC48A1
		LENG8
		NRXN1
		ATP6V1E1
		MRPL9
		ZFAND6
		MT-ND1
		FAF2
		PDCD10
		SSR4
		SMAP1
		NUP210
		NDUFC2
		OLFM2
		CCDC74A
		CACNA1C
		NAPA
		C9orf142
		TUBA4A
		MAN1A1
		INS
		CCDC74B
		PTPRS
		EIF2B4
		CBWD1
		SLC22A17
		BMPR2
		AHSA1
		UGDH
		MPHOSPH10
		CHD7
		CERS5
		HSPA9
		EEF1D
		RASGEF1B
		PPME1
		MTURN
		PURA
		NEO1
		HINT2
		POLDIP2
		MXRA7
		BRD7
		NISCH
		FTH1P20
		ACTR1B
		SLC35E1
		NUDC
		FARSA
		NRDC
		HSP90AB1
		HERC2P9
		SYNE1
		EIF4EBP1
		SSR2
		MRPS36
		ZNF569
		CRB3
		FAM76A
		LRSAM1
		ARMCX6
		WSCD2
		SLC25A36
		TMED10
		AK6
		LUC7L3
		GPRASP1
		FTLP3
		RGS9
		SRSF2
		AAED1
		EIF2AK1
		C14orf119
		PRRG3
		NLRP1
		DLD
		NCAPH2
		APCDD1L-AS1
		RBM8A
		ABCA2
		DAP
		QSOX1
		CFAP65
		SERF2
		SSTR5-AS1
		PLA2G16
		PON2
		MTCO3P12
		KCNMB2
		MRPL16
		RIMKLA
		CPE
		NUDT5
		RAB10
		TXN
		SREBF1
		PAGR1
		GYG1
		ETNK1
		AKR1A1
		COMMD6
		ATP5E
		ME1
		SCAF11
		MUM1
		OGDHL
		PNPO
		ILF3-AS1
		FKBP1A
		FKBP2
		LRP11
		YPEL3
		GRIA2
		SAT1
		C1orf43
		ATP5G1
		UBC
		SNCB
		PSPH
Cell size	201	C3orf14
		KRTCAP2
		PFKP
		NDUFS1
		AES
		GOT1
		FRY
		C19orf53
		PKD1
		DDOST
		ACYP2
		BAZ1B
		MT-ATP6
		SLC25A46
		TERF2IP
		GSS
		SCOC
		ABR
		MTRNR2L1
		DHRS7
		SMIM22
		CTDSP2
		FLYWCH1
		HMGB1P5
		EMC1
		YME1L1
		MRPS11
		COPG1
		ABHD2
		TBC1D17
		TIMM22
		SECISBP2
		TSR3
		FUCA2
		GNA11
		SEC11C
		CASC3
		ITSN2
		EMC3
		NQO2
		LSM10
		PSMG2
		C12orf10
		TSN
		TMED9
		CYP4V2
		GNAO1
		PFKL
		ZC3H6
		PRPF4B
		CRYBA2
		INS-IGF2
		SPCS3
		TSTD3
		TTC3
		NAA20
		FURIN
		BEX2
		SELENOF
		YPEL5
		RBM26
		GGPS1
		TRAPPC2
		SLC50A1
		DCAF11
		ISCU
		ATN1
		TTC39C
		ASPSCR1
		THOC7
		MT-ND4
		PCNX4
		SDHD
		NPIPB5
		RNF187
		C1GALT1
		ADD1
		PSIP1
		TULP4
		SCAMP5
		CLCN7
		SELENOM
		HRAS
		ARFGAP2
		TMED2
		PRUNE2
		LYPLA2
		MARCH7
		MAN2C1
		QPCT
		PIGK
		MAPK8IP2
		ATG101
		AIP
		MFSD14B
		DYNLRB1
		PIAS1
		RPL7P24
		EFR3B
		GPBP1
		SUCLG1
		CHGB
		PDCD6
		SELENOK
		EIF2AK2
		TMED3
		SS18
		PTPN1
		GADD45G
		C6orf89
		TTR
		SSBP3
		MRPL3
		EAPP
		MYO3A
		WDR33
		BPTF
		ELP6
		EIF3A
		SPOP
		AKT2
		RNF146
		UBA6
		CLINT1
		CDH1
		BAZ2B
		FKBP3
		AKAP9
		TMEM251
		IGF1R
		BCL2L1
		PPP1CB
		ARPC1B
		EIF3C
		FUCA1
		KRT18
		GSTM3
		ERP44
		MT-CO1
		ARL3
		RPA3
		ABHD11
		ZSWIM7
		NPIPB4
		C2orf68
		CBX3
		ELOVL1
		PDIA6
		RANGRF
		GORASP2
		MT-CO2
		CETN2
		ALG5
		CCND2
		PREPL
		RABGAP1L
		SNRPD3
		PPP1R1A
		WDR18
		MCRIP2
		FRG1BP
		EIF2S2
		MLXIPL
		C11orf98
		ULK3
		CLIP1
		PDE8B
		P4HB
		POM121C
		LARP4
		NUMA1
		EXOSC6
		DLK1
		CLNS1A
		PSME2
		HGSNAT
		TMED1
		VPS13C
		MALSU1
		YTHDC1
		FKBP11
		PHTF2
		SIVA1
		ARL5A
		EDEM3
		PRKCA
		LAPTM4B
		YIPF3
		SKA2
		RCN2
		C11orf54
		CDK10
		C15orf40
		LETMD1
		ZNF622
		CBR1
		DNAJC19
		MTCYBP18
		WLS
		H2AFY
		ZNF638
