	tSNE1	tSNE2
1001200626_D7	14.565234	2.279903
1001200626_D8	-16.6293	14.701639
1001200626_E1	-19.748873	15.795651
1001200626_E10	-16.40824	12.030451
1001200626_E11	-12.997077	-4.620861
1001200626_E12	6.0173154	-0.16381477
1001200626_E2	7.529575	-24.165068
1001200626_E3	8.181495	8.693534
1001200626_E4	-19.169104	15.834056
1001200626_E5	-14.655609	10.564544
1001200626_E6	-16.917732	-11.240133
1001200626_E7	-15.39872	16.071108
1001200626_E8	-17.012117	13.447442
1001200626_E9	-23.482128	20.044312
1001200626_F1	-22.165653	17.408295
1001200626_F11	-23.95985	20.554564
1001200626_F12	4.6043286	-0.29822373
1001200626_F2	-18.79227	15.285049
1001200626_F3	11.192332	6.0670323
1001200626_F4	-22.272875	20.735653
1001200626_F5	6.688397	10.389647
1001200626_F6	-15.10283	17.645382
1001200626_F7	15.063104	-21.289536
1001200626_F8	4.803798	0.7727143
1001200626_F9	-16.311007	14.827917
1001200626_G1	-17.284927	17.800718
1001200626_G10	-15.794521	10.009027
1001200626_G11	6.5205593	10.42539
1001200626_G2	15.801793	-22.292997
1001200626_G3	-20.177357	15.504788
1001200626_G4	15.696267	-21.284948
1001200626_G5	-15.776044	-14.85712
1001200626_G7	-16.202702	-13.073654
1001200626_G8	-17.69184	12.872564
1001200626_G9	-16.109293	-13.826217
1001200626_H1	-15.375811	-14.231692
1001200626_H10	15.89667	-22.015482
1001200626_H11	-15.723964	10.804046
1001200626_H2	-21.825787	19.980486
1001200626_H3	-22.050652	16.058237
1001200626_H4	-15.618892	-12.9863
1001200626_H5	-22.422155	18.666746
1001200626_H7	-15.970454	12.401629
1001200626_H8	14.366384	2.9746013
1001200626_H9	-16.824436	13.48691
1001200627_A2	-12.566233	-8.464517
1001200627_A4	-12.533336	-6.562005
1001200627_A5	-13.728263	-9.944316
1001200627_A6	-10.918737	-11.826292
1001200627_B1	-12.196554	-14.338272
1001200627_B2	-8.105769	-9.288551
1001200627_B3	3.945661	-1.7182555
1001200627_B4	3.709108	1.8753326
1001200627_B6	5.321212	-1.5177352
1001200627_C3	-14.591982	-8.999773
1001200627_C5	16.388365	4.1356144
1001200627_C6	-14.692576	-10.858777
1001200627_D1	-14.383651	-10.154023
1001200627_D2	-11.168934	-11.892857
