	tSNE1	tSNE2
1001200608_H10	0.099746935	-4.163997
1001200608_H2	-9.0236025	4.3016458
1001200608_H3	-25.09126	-8.41052
1001200608_H4	27.12236	-33.899937
1001200608_H5	-25.107647	36.79892
1001200608_H6	-25.512453	42.230984
1001200608_H8	-11.474158	-6.692341
1001200608_H9	-22.390602	-3.625765
1001200609_A1	11.797905	-1.7453563
1001200609_A11	18.371742	-16.67236
1001200609_A12	-40.65801	-18.900898
1001200609_A2	-27.13655	45.514668
1001200609_A3	-28.225075	46.878666
1001200609_A4	19.534845	-1.1507367
1001200609_A5	32.939674	-26.169334
1001200609_A6	33.76383	-17.087662
1001200609_A7	-26.944433	-9.910222
1001200609_A8	-37.85666	39.477142
1001200609_B12	-27.212132	41.316345
1001200609_B2	-34.983334	37.976826
1001200609_B3	-28.015572	45.098103
1001200609_B6	-36.96935	29.011461
1001200609_B7	-29.674793	49.175278
1001200609_B8	-33.00232	37.84171
1001200609_C1	-4.6975784	4.4097714
1001200609_C11	-40.976585	-21.564957
1001200609_C12	-40.011185	-20.35027
1001200609_C3	-38.56585	27.561806
1001200609_C4	-40.074574	35.860344
1001200609_C6	-30.336401	50.658897
1001200609_C7	-36.686016	46.59068
1001200609_C8	-31.859781	35.290195
1001200609_D1	-28.13051	42.976437
1001200609_D11	-40.977432	-19.539642
1001200609_D12	-41.54108	-19.338093
1001200609_D2	31.753336	-11.409183
1001200609_D3	4.53332	-3.583903
1001200609_D4	-1.7333947	26.126392
1001200609_D5	-19.823921	-10.815566
1001200609_D6	-39.837914	28.322624
1001200609_D8	-42.91123	27.160746
1001200609_E1	-41.373596	36.834686
1001200609_E11	3.011291	5.773101
1001200609_E12	-42.844673	-20.910866
1001200609_E3	-10.688411	-11.563002
1001200609_E4	-11.823955	-10.956309
1001200609_E5	-38.93882	31.944918
1001200609_E6	15.579763	-23.587288
1001200609_E7	42.78277	-25.474646
1001200609_F1	-50.119946	28.712448
1001200609_F11	-40.417465	-21.74267
1001200609_F12	-42.011627	-20.435112
1001200609_F3	-26.754044	43.675224
1001200609_F4	-27.51499	37.667973
1001200609_F5	21.97494	-16.128115
1001200609_F6	-40.10831	26.251228
1001200609_G11	-40.30801	-21.012682
1001200609_G12	-40.885437	-20.643427
1001200609_G2	-28.028502	51.317818
1001200609_G3	-51.138214	29.445839
1001200609_G4	18.832664	-12.553848
1001200609_G5	-39.05514	26.62498
1001200609_G6	-13.929873	-13.113135
1001200609_G7	-31.812624	36.287746
1001200609_H1	-22.115116	44.951904
1001200609_H11	-40.663853	-20.00557
1001200609_H12	-41.30117	-21.121885
1001200609_H2	-24.085537	43.221535
1001200609_H3	-22.09275	45.00879
1001200609_H5	30.549137	-36.63109
1001200609_H6	-1.1958965	-16.399775
