	tSNE1	tSNE2
1001200612_G10	10.059109	-13.430866
1001200612_G3	16.914078	-26.85187
1001200612_G4	31.987026	-25.282137
1001200612_G5	26.013704	-22.395535
1001200612_G6	32.132484	-19.994535
1001200612_G7	8.0200405	-22.244644
1001200612_H1	23.20422	-26.078293
1001200612_H4	28.58292	-26.533424
1001200612_H6	29.609253	-26.3243
1001200612_H7	23.786154	-30.102642
1001200612_H9	-2.4637115	-6.353865
1001200614_A1	-15.856587	29.93205
1001200614_A11	-11.496211	18.05487
1001200614_A12	-4.2529674	-2.771735
1001200614_A2	-11.612351	31.297659
1001200614_A4	-18.067898	41.575474
1001200614_B1	-14.973491	27.890491
1001200614_B10	-15.244483	16.316149
1001200614_B11	-5.6568794	2.5751467
1001200614_B2	-11.816455	25.441206
1001200614_B5	-22.716158	16.505499
1001200614_B9	-12.514111	25.789608
1001200614_C11	-9.418113	1.7705944
1001200614_C12	-9.588839	-7.4969797
1001200614_C2	-8.546506	38.809196
1001200614_C3	-5.7957077	19.518202
1001200614_C5	-8.151749	-0.59840906
1001200614_C9	-1.6908851	11.115943
1001200614_D1	-16.372795	27.094128
1001200614_D10	-9.392814	6.5390916
1001200614_D11	-4.474669	-7.700704
1001200614_D12	-10.547799	15.652354
1001200614_D2	-11.557041	22.443352
1001200614_D5	-11.579335	37.664024
1001200614_D9	-18.293324	15.015426
1001200614_E10	-13.754636	33.31145
1001200614_E11	-7.8933697	0.8332159
1001200614_E12	1.242244	-4.5893903
1001200614_E2	-13.594065	21.3291
1001200614_E3	-9.870086	33.242584
1001200614_E5	-10.280506	28.29639
1001200614_E9	-8.090069	23.364313
1001200614_F11	-10.146246	1.8407226
1001200614_F12	-4.3687305	4.6288366
1001200614_F2	-5.1041236	22.815357
1001200614_F3	-8.931696	4.243585
1001200614_F5	-13.048328	41.983677
1001200614_F9	-15.65655	24.201199
1001200614_G1	-9.815858	24.32894
1001200614_G2	-10.127452	24.02315
1001200614_G3	-23.581663	38.37694
1001200614_G5	-8.399343	40.44256
1001200614_G9	-9.070416	3.4079669
1001200614_H10	-22.664665	4.0076537
1001200614_H2	-8.973194	40.97947
1001200614_H3	-13.975603	27.176493
1001200614_H9	-0.1284257	8.32539
1001200615_A1	0.8883911	12.535061
1001200615_A3	16.97324	-5.057911
1001200615_A4	21.916168	-19.773148
1001200615_B1	-5.369434	-0.13191378
1001200615_B3	-2.1415875	-13.574048
1001200615_B4	22.279478	-23.867245
1001200615_C1	-15.447311	16.010118
1001200615_C5	21.606426	-18.377956
1001200615_D4	16.399471	-18.90268
1001200615_D5	13.432003	-9.709358
1001200615_E1	-21.536747	9.896441
1001200615_E2	24.409472	-28.206451
1001200615_E3	20.621061	-12.032978
1001200615_E4	13.216184	-13.554457
1001200615_E5	20.758703	-7.693447
1001200615_F1	-19.288187	8.968242
1001200615_F2	33.57445	-14.30265
1001200615_F3	29.610954	-21.441204
1001200615_F5	-3.2148376	-18.55674
1001200615_G3	17.081503	-27.32463
1001200615_G4	32.765293	-14.319746
1001200615_G5	-4.983016	-2.4669695
1001200615_H1	16.782743	-5.518584
1001200615_H2	22.675167	-22.234098
1001200615_H3	8.003065	-11.377745
1001200615_H4	22.302578	-13.482257
1001200615_H5	3.9356544	-17.481844
1001200617_A10	14.415983	-7.0714817
1001200617_A11	15.846955	-21.06826
1001200617_A12	24.35021	-5.411436
1001200617_B11	12.4586935	-7.17212
1001200617_B12	8.155007	-7.8175197
1001200617_B6	-5.5934033	27.070112
1001200617_B7	5.513187	1.9744873
1001200617_C11	14.104942	-20.253126
1001200617_C12	25.528973	-25.35846
1001200617_C9	26.554802	-6.2547646
1001200617_D10	9.245861	-1.7038672
1001200617_D11	-0.3503599	-17.29385
1001200617_D6	2.0818605	12.853089
1001200617_D9	4.1202483	-12.082548
1001200617_E10	-18.59948	34.616295
1001200617_E6	-22.049807	16.502337
1001200617_E7	-12.336132	29.637468
1001200617_F10	-8.410501	-2.16855
1001200617_F6	0.17468211	1.7037146
1001200617_F7	-6.4004855	10.909342
1001200617_F9	26.649391	-6.12473
1001200617_G6	-10.0497	7.847262
1001200617_G7	-2.7067976	14.991308
1001200617_G9	24.34886	-5.1273913
1001200617_H11	9.511081	-14.718586
1001200617_H7	-14.832	-7.5446267
1001200618_A1	8.375997	-3.9653358
1001200618_A10	-26.715488	32.92877
1001200618_A11	13.284526	-24.081213
1001200618_A3	26.18411	-10.00144
1001200618_A4	26.497837	-25.386946
1001200618_B1	-1.7832162	19.696535
1001200618_B10	4.2297683	5.212457
1001200618_B11	8.319529	-4.52518
1001200618_C1	30.783575	-12.608417
1001200618_C12	-16.427177	40.305782
1001200618_C6	21.356882	-2.615358
1001200618_C9	1.9278919	12.811931
1001200618_D1	28.832054	-22.957962
1001200618_D10	-10.97888	41.661682
1001200618_D11	3.4225643	9.776038
1001200618_D12	-4.59434	5.6160464
1001200618_D9	7.1782856	10.2249775
1001200618_E10	-13.396452	38.909294
1001200618_E11	27.544146	-7.4714055
1001200618_E12	30.756937	-11.518222
1001200618_E9	-7.5619473	40.54021
1001200618_F10	-5.4520164	18.542238
1001200618_F11	-10.5369215	10.114254
1001200618_F12	3.4463959	4.7606606
1001200618_G1	14.6714115	-31.543337
1001200618_G10	-18.324461	13.478227
1001200618_G11	29.211128	-8.401945
1001200618_G12	8.604154	5.7396164
1001200618_G9	-7.6968083	9.971201
1001200618_H1	24.076206	-2.9320219
1001200618_H11	-4.7777057	24.290123
1001200618_H4	28.070105	-4.997694
1001200618_H9	-16.87194	17.88953
1001200619_A1	-6.787338	2.8439407
1001200619_A10	23.609413	-22.933828
1001200619_A4	-16.649826	6.2379003
1001200619_A5	-25.888842	10.078568
1001200619_A6	29.000935	-24.452776
1001200619_A8	-22.323921	8.5933485
1001200619_A9	-19.730057	11.112067
1001200619_B1	23.047194	-8.862544
1001200619_B4	10.944215	-25.117899
1001200619_B5	-14.964776	0.9874361
1001200619_B8	-15.749188	0.25139174
1001200619_C10	25.613373	-29.579844
1001200619_C4	-10.225101	6.9471498
1001200619_C5	-19.081081	-0.23413904
1001200619_C8	21.271786	-20.526606
1001200619_D10	21.043167	-5.745985
1001200619_D5	-15.487744	4.7198815
1001200619_D8	20.376719	-7.6482387
1001200619_E1	28.674694	-10.527267
1001200619_F1	-2.7233846	10.189245
1001200619_F4	-16.224228	3.7649176
1001200619_F8	25.67435	-18.052267
1001200619_G1	8.400714	1.9181869
1001200619_G4	-16.214474	-4.0846343
1001200619_G5	-8.463461	-4.6543927
1001200619_G6	23.501514	-1.2262096
1001200619_G9	31.096859	-21.516554
1001200619_H4	-22.963097	12.353662
1001200619_H5	20.73353	-1.3114551
1001200619_H9	31.433842	-22.184155
1001200620_A10	-23.226683	33.850098
1001200620_A12	21.368206	-16.140898
1001200620_A4	5.558792	-3.5800185
1001200620_A5	-4.0461493	27.062302
1001200620_A8	5.4861674	4.770632
1001200620_B11	3.7306778	-22.961163
1001200620_B12	5.618835	-18.355421
1001200620_B4	5.8727593	-1.5359143
1001200620_B5	-2.5372226	5.226399
1001200620_B6	-1.2654518	6.596058
1001200620_B7	-16.395967	5.497039
1001200620_B8	-2.9787807	6.95401
1001200620_C10	31.89813	-27.553587
1001200620_C11	25.07847	-10.699157
1001200620_C12	30.51188	-17.28359
1001200620_C4	-0.8882012	8.027817
1001200620_C5	0.5219273	5.423354
1001200620_C6	-20.379795	1.9274743
1001200620_C8	12.302607	-28.311272
1001200620_D10	27.440262	-27.411715
1001200620_D11	27.481407	-27.600391
1001200620_D12	25.850735	-26.23038
1001200620_D4	-6.126782	22.782068
1001200620_D6	3.2305765	-25.242569
1001200620_D7	6.737559	-0.09492802
1001200620_D8	3.2483559	-14.935068
1001200620_E11	29.336483	-14.811147
1001200620_E12	-0.27085823	-24.12229
1001200620_E4	3.5333755	3.828628
1001200620_E5	5.9770904	-6.2785053
1001200620_E6	-3.5665243	25.649803
1001200620_E7	-13.232806	3.472571
1001200620_E8	5.435553	-3.418024
1001200620_F11	26.080866	-24.786448
1001200620_F12	14.088074	-21.615429
1001200620_F5	4.110516	-15.336179
1001200620_F7	-6.5390377	-9.903367
1001200620_F8	3.7858024	-13.181356
1001200620_G10	5.4126115	-20.142294
1001200620_G11	26.99213	-22.14539
1001200620_G12	2.3615863	-14.887861
1001200620_G4	-19.621784	2.1056788
1001200620_G5	9.050204	-2.0943253
1001200620_G7	1.1169934	-23.430069
1001200620_G8	-14.680166	2.5009384
1001200620_H10	28.307207	-17.724634
1001200620_H11	25.9811	-14.085199
1001200620_H4	-15.338813	3.3501942
1001200620_H5	4.1380796	2.261622
1001200620_H6	-10.214089	32.01998
1001200620_H8	10.489658	-26.958225
1001200621_A1	16.262049	-21.86497
1001200621_A10	14.767328	-15.216531
1001200621_A11	13.632327	-13.374326
1001200621_A12	17.167564	-9.014702
1001200621_A2	16.355272	-29.530106
1001200621_A3	25.277296	-13.780598
1001200621_A7	1.5254754	-0.8864316
1001200621_A8	-0.139504	6.0785956
1001200621_A9	-7.711519	9.217009
1001200621_B11	15.67726	-6.196062
1001200621_B2	21.602362	-27.335878
1001200621_B3	27.152548	-10.339382
1001200621_C1	20.736425	-34.280003
1001200621_C2	4.8283896	-12.126449
1001200621_C3	23.954931	-12.74611
1001200621_C7	1.6385175	6.733474
1001200621_C9	27.69294	-11.350058
1001200621_D1	16.79826	-16.633604
1001200621_D10	16.281546	-13.677456
1001200621_D11	20.330654	-23.917068
1001200621_D2	13.975622	-17.520153
1001200621_D3	18.631573	-13.409886
1001200621_D8	-4.8222837	26.533909
1001200621_E1	-2.4811492	-18.117102
1001200621_E10	24.822287	-16.84685
1001200621_E11	22.830122	-14.7652645
1001200621_E2	16.76592	-23.638176
1001200621_E3	25.261927	-17.157444
1001200621_E7	-5.582604	27.129099
1001200621_E8	2.642246	4.732406
1001200621_F1	16.600903	-14.685257
1001200621_F10	19.729052	-11.984981
1001200621_F11	24.756598	-21.023819
1001200621_F12	14.897309	-9.06717
1001200621_F2	26.252867	-10.812887
1001200621_F3	22.062292	-16.47529
1001200621_F7	-20.400255	20.579464
1001200621_F9	19.304354	-14.953407
1001200621_G10	11.493126	-11.775098
1001200621_G11	23.011719	-21.544014
1001200621_G12	23.498123	-18.666084
1001200621_G2	6.643558	-5.24744
1001200621_G3	29.28645	-26.943027
1001200621_G7	0.5078359	8.933745
1001200621_G9	4.34238	0.2852211
1001200621_H11	20.38399	-1.7063066
1001200621_H2	8.803932	5.872636
1001200621_H3	4.6770716	-16.221745
1001200622_A1	25.7299	-16.366083
1001200622_A10	-20.476412	2.5206444
1001200622_A11	-14.438317	-1.378936
1001200622_A12	27.64884	-6.3571787
1001200622_A2	8.22014	-10.597816
1001200622_A3	27.476038	-17.12215
1001200622_A4	27.918135	-25.412899
1001200622_A9	-3.2153225	7.2046356
1001200622_B10	-20.342644	12.035554
1001200622_B11	-13.507797	-2.3756003
1001200622_B2	-3.2422857	-6.243259
